avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,depth,breadth_mode,breadth_factor,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr,holdout_avg_size,xirr_pct_of_base,dd_improvement,wr_improvement
4829.5,-5.9,7.3,1649.0,58.3,,reduce_30-55_0.4,0.4,3,1.0,0.02,10,dNone_reduce_30-55_0.4_D3_R1.0_T0.02_H10,1925.1,-7.0,6.88,2724,54.3,0.856,101.29439621152328,-3.5999999999999996,-0.7000000000000028
5033.0,-6.7,7.42,1649.0,58.3,,reduce_25-55_0.8,0.8,3,1.0,0.02,10,dNone_reduce_25-55_0.8_D3_R1.0_T0.02_H10,2364.3,-9.3,7.11,2724,54.3,0.944,124.40410418310972,-1.299999999999999,-0.7000000000000028
4863.0,-6.3,7.38,1649.0,58.3,,reduce_25-55_0.6,0.6,3,1.0,0.02,10,dNone_reduce_25-55_0.6_D3_R1.0_T0.02_H10,2000.5,-8.0,7.08,2724,54.3,0.889,105.26177321757433,-2.5999999999999996,-0.7000000000000028
4791.1,-6.0,7.35,1649.0,58.3,,reduce_25-55_0.5,0.5,3,1.0,0.02,10,dNone_reduce_25-55_0.5_D3_R1.0_T0.02_H10,1837.0,-7.3,7.02,2724,54.3,0.861,96.6587740068403,-3.3,-0.7000000000000028
4918.3,-6.7,7.38,1649.0,58.3,,reduce_25-50_0.6,0.6,3,1.0,0.02,10,dNone_reduce_25-50_0.6_D3_R1.0_T0.02_H10,2122.1,-9.4,7.05,2724,54.3,0.91,111.6600894501447,-1.1999999999999993,-0.7000000000000028
4853.4,-6.6,7.35,1649.0,58.3,,reduce_25-50_0.5,0.5,3,1.0,0.02,10,dNone_reduce_25-50_0.5_D3_R1.0_T0.02_H10,1979.0,-9.1,7.0,2724,54.3,0.888,104.13049197579585,-1.5,-0.7000000000000028
4745.9,-7.1,7.13,1649.0,53.9,,skip_30-50,0.0,3,1.0,0.02,10,dNone_skip_30-50_D3_R1.0_T0.02_H10,1730.4,-10.5,6.51,2724,45.3,0.814,91.04972375690609,-0.09999999999999964,-9.700000000000003
4645.7,-5.7,7.06,1649.0,52.8,,skip_30-55,0.0,3,1.0,0.02,10,dNone_skip_30-55_D3_R1.0_T0.02_H10,1482.5,-6.3,6.38,2724,43.0,0.76,78.00578795053933,-4.3,-12.0
4210.0,-6.7,7.21,1621.0,57.8,-0.3,none,1.0,3,1.0,0.02,10,d30_none_D3_R1.0_T0.02_H10,2420.4,-8.5,6.91,2704,54.0,1.0,127.35595895816891,-2.0999999999999996,-1.0
4210.0,-6.7,7.21,1621.0,57.8,-0.3,reduce_30-50_1.0,1.0,3,1.0,0.02,10,d30_reduce_30-50_1.0_D3_R1.0_T0.02_H10,2420.4,-8.5,6.91,2704,54.0,1.0,127.35595895816891,-2.0999999999999996,-1.0
4102.8,-6.6,7.2,1621.0,57.8,-0.3,reduce_30-50_0.8,0.8,3,1.0,0.02,10,d30_reduce_30-50_0.8_D3_R1.0_T0.02_H10,2211.9,-8.0,6.92,2704,54.0,0.962,116.38516179952644,-2.5999999999999996,-1.0
4007.0,-6.4,7.16,1621.0,57.8,-0.3,reduce_30-50_0.6,0.6,3,1.0,0.02,10,d30_reduce_30-50_0.6_D3_R1.0_T0.02_H10,2017.4,-7.6,6.87,2704,54.0,0.925,106.1510128913444,-3.0,-1.0
3963.1,-6.3,7.14,1621.0,57.8,-0.3,reduce_30-50_0.5,0.5,3,1.0,0.02,10,d30_reduce_30-50_0.5_D3_R1.0_T0.02_H10,1925.1,-7.3,6.82,2704,54.0,0.906,101.29439621152328,-3.3,-1.0
3921.7,-6.3,7.11,1621.0,57.8,-0.3,reduce_30-50_0.4,0.4,3,1.0,0.02,10,d30_reduce_30-50_0.4_D3_R1.0_T0.02_H10,1836.2,-7.3,6.77,2704,54.0,0.887,96.61667982109972,-3.3,-1.0
4069.3,-6.5,7.2,1621.0,57.8,-0.3,reduce_30-55_0.8,0.8,3,1.0,0.02,10,d30_reduce_30-55_0.8_D3_R1.0_T0.02_H10,2144.9,-7.7,6.93,2704,54.0,0.952,112.85977374375165,-2.8999999999999995,-1.0
