avg_xirr,avg_dd,avg_sharpe,avg_trades,avg_win_rate,bucket,down_days,rvol,trail,hold,label,holdout_xirr,holdout_dd,holdout_sharpe,holdout_trades,holdout_wr
557.4,-7.6,4.77,709.0,60.3,max_20%,5,1.0,0.02,10,max_20%_D5_R1.0_T0.02_H10,661.9,-9.9,4.84,1297,55.4
2174.3,-15.2,5.09,1110.0,54.2,min_5%,4,1.0,0.03,10,min_5%_D4_R1.0_T0.03_H10,1303.0,-15.5,4.84,1866,51.3
376.3,-8.3,4.52,602.0,60.2,max_20%,4,2.0,0.02,10,max_20%_D4_R2.0_T0.02_H10,431.9,-8.2,4.83,1147,56.0
1701.4,-19.2,5.14,1598.0,51.3,max_20%,3,1.0,0.03,5,max_20%_D3_R1.0_T0.03_H5,850.9,-18.0,4.83,2680,49.1
1204.1,-17.4,4.75,1086.0,52.1,max_20%,4,1.0,0.03,10,max_20%_D4_R1.0_T0.03_H10,835.2,-17.3,4.82,1916,49.9
956.8,-6.0,5.03,597.0,65.6,min_10%,5,1.0,0.02,5,min_10%_D5_R1.0_T0.02_H5,977.1,-6.2,4.81,986,61.9
876.6,-5.2,5.08,516.0,69.1,min_15%,3,1.5,0.02,7,min_15%_D3_R1.5_T0.02_H7,663.0,-8.9,4.8,816,66.4
1539.0,-13.4,5.09,1052.0,53.9,no_filter,3,2.0,0.03,10,no_filter_D3_R2.0_T0.03_H10,1035.6,-18.9,4.79,1846,51.4
1319.9,-16.4,5.02,1292.0,53.0,max_25%,3,1.5,0.03,7,max_25%_D3_R1.5_T0.03_H7,954.0,-15.5,4.79,2241,50.6
1052.5,-12.0,4.9,851.0,56.1,min_10%,3,1.5,0.03,5,min_10%_D3_R1.5_T0.03_H5,914.3,-18.1,4.79,1398,52.7
1344.2,-12.0,4.88,851.0,56.5,min_10%,3,1.5,0.03,7,min_10%_D3_R1.5_T0.03_H7,1148.1,-18.3,4.78,1398,53.5
1246.1,-12.7,4.81,905.0,54.7,no_filter,4,1.5,0.03,10,no_filter_D4_R1.5_T0.03_H10,859.4,-13.0,4.78,1569,52.1
1266.3,-12.7,5.09,1209.0,53.2,min_5%,3,1.5,0.03,5,min_5%_D3_R1.5_T0.03_H5,890.8,-16.8,4.78,2049,50.1
539.4,-6.9,4.64,486.0,65.5,min_10%,4,2.0,0.02,7,min_10%_D4_R2.0_T0.02_H7,572.6,-8.6,4.77,815,62.3
1764.5,-11.6,4.91,851.0,56.7,min_10%,3,1.5,0.03,10,min_10%_D3_R1.5_T0.03_H10,1530.7,-17.2,4.77,1398,53.8
1111.0,-6.6,5.04,515.0,69.6,min_15%,4,1.0,0.02,7,min_15%_D4_R1.0_T0.02_H7,885.8,-7.2,4.76,788,67.6
659.6,-13.8,5.12,1264.0,53.4,max_10%,3,1.0,0.02,10,max_10%_D3_R1.0_T0.02_H10,694.7,-15.1,4.76,2237,50.3
1683.7,-13.0,5.12,1209.0,53.4,min_5%,3,1.5,0.03,7,min_5%_D3_R1.5_T0.03_H7,1174.7,-17.7,4.76,2049,50.6
1385.0,-6.9,5.23,812.0,61.6,no_filter,5,1.0,0.02,10,no_filter_D5_R1.0_T0.02_H10,1409.0,-9.2,4.74,1416,56.6
1308.0,-16.3,5.05,1193.0,53.6,no_filter,4,1.0,0.03,5,no_filter_D4_R1.0_T0.03_H5,816.5,-19.4,4.74,2024,50.3
342.1,-9.7,4.29,691.0,55.7,max_15%,4,1.5,0.02,10,max_15%_D4_R1.5_T0.02_H10,455.2,-9.1,4.74,1289,53.4
667.4,-8.1,4.65,755.0,59.5,10-15%,3,1.0,0.02,10,10-15%_D3_R1.0_T0.02_H10,539.2,-10.7,4.74,1295,55.5
1255.5,-7.0,5.21,812.0,61.5,no_filter,5,1.0,0.02,7,no_filter_D5_R1.0_T0.02_H7,1262.3,-9.2,4.73,1416,56.5
892.4,-5.2,5.06,516.0,69.1,min_15%,3,1.5,0.02,10,min_15%_D3_R1.5_T0.02_H10,695.8,-8.9,4.72,816,66.4
1013.6,-12.5,4.76,905.0,54.6,no_filter,4,1.5,0.03,7,no_filter_D4_R1.5_T0.03_H7,723.9,-12.9,4.72,1569,51.9
597.3,-8.1,4.7,755.0,59.5,10-15%,3,1.0,0.02,7,10-15%_D3_R1.0_T0.02_H7,505.0,-10.7,4.72,1295,55.5
580.0,-6.9,4.62,486.0,65.5,min_10%,4,2.0,0.02,10,min_10%_D4_R2.0_T0.02_H10,634.3,-8.6,4.72,815,62.3
1272.9,-18.4,4.8,1513.0,50.2,max_15%,3,1.0,0.03,7,max_15%_D3_R1.0_T0.03_H7,843.9,-16.3,4.71,2587,48.7
1137.7,-6.6,5.04,515.0,69.6,min_15%,4,1.0,0.02,10,min_15%_D4_R1.0_T0.02_H10,932.1,-7.2,4.71,788,67.6
317.1,-8.3,4.43,602.0,59.7,max_20%,4,2.0,0.02,5,max_20%_D4_R2.0_T0.02_H5,350.7,-8.2,4.71,1147,55.4
2172.7,-13.1,5.19,1209.0,53.6,min_5%,3,1.5,0.03,10,min_5%_D3_R1.5_T0.03_H10,1474.8,-17.8,4.71,2049,50.8
1338.3,-6.1,5.15,778.0,61.8,min_5%,5,1.0,0.02,10,min_5%_D5_R1.0_T0.02_H10,1383.2,-8.0,4.71,1350,56.9
1407.0,-12.1,4.79,827.0,57.2,min_10%,4,1.0,0.03,7,min_10%_D4_R1.0_T0.03_H7,1012.6,-14.1,4.71,1347,54.7
1179.7,-11.8,4.86,827.0,57.1,min_10%,4,1.0,0.03,5,min_10%_D4_R1.0_T0.03_H5,884.4,-13.2,4.7,1347,54.2
